component,early_mean,early_slope,early_volatility,target_late_value,status,actual_change,predicted_target,predicted_change,early_reject_flag
Test_27_run_3,121.54670218008401,-39614.65893470374,49.93029493801247,64.379553953904,WATCH,-57.16714822618002,64.07279825731355,-57.47390392277046,False
Test_9_run_6,34.115928249323375,13.496549031113885,1.342467924693974,33.29384494900802,NORMAL,-0.8220833003153558,46.6211688200041,12.505240570680726,True
Test_2_run_1,115.04094005855694,-1644.3919724229997,13.951996216764574,90.13699970297536,NORMAL,-24.903940355581582,93.42250371311692,-21.618436345440017,False
Test_11_run_5,32.51082973824383,-139.568359173018,2.787919023575603,31.655213839431962,NORMAL,-0.8556158988118661,44.449010315012224,11.938180576768396,True
Test_20_run_2,14.451795048075649,-1004.7185542243507,14.796365063755,2.402942820327155,WATCH,-12.048852227748494,23.216714427406576,8.764919379330927,True
Test_20_run_1,14.449617789919916,-473.3993567083565,15.841838355165804,10.146305812243307,NORMAL,-4.303311977676609,22.589985935810283,8.140368145890367,False
Test_11_run_6,31.937526160835862,-56.72269444617738,1.8272725447169207,31.51903733254857,NORMAL,-0.41848882828729117,44.75129514323865,12.813768982402788,True
Test_13_run_3,42.76960625478801,-7122.5602148338685,15.880070985705515,35.27159797946817,NORMAL,-7.49800827531984,40.74040245156353,-2.029203803224476,False
Test_9_run_3,40.636824513935295,-5470.724782282561,14.846590150785026,35.50540289832787,NORMAL,-5.131421615607422,40.35735348682715,-0.2794710271081442,False
Test_28_run_1,94.71575539500134,-24147.42069624336,53.12363460519003,28.05337109942355,CRITICAL,-66.6623842955778,46.59698256884323,-48.11877282615811,False
Test_9_run_7,33.9501855618432,-6.249862799793533,0.7720805269255119,33.22541293648797,NORMAL,-0.7247726253552287,46.90662946132783,12.956443899484633,True
Test_5_run_1,53.6034586595142,-23922.01615659895,35.93819399292364,3.047061728721691,CRITICAL,-50.55639693079251,30.333682255448032,-23.26977640406617,False
Test_23_run_1,72.55452210962997,-915.1013374356049,14.17407376611685,59.42406488637919,WATCH,-13.13045722325078,63.96550708841095,-8.58901502121902,False
Test_8_run_6,61.28591644875788,-250.6780029406624,5.918675810806356,59.51296299813197,NORMAL,-1.7729534506259128,62.155428761203844,0.8695123124459627,False
Test_25_run_4,186.21679076279935,208308.56279965176,3.3101812773955803,181.8948807556067,WATCH,-4.321910007192656,196.39868438787371,10.181893625074366,True
